OPERADOR;SERVICIO;INDICATIVO;BLOQUE;MODALIDAD;LOCALIDAD
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3756;495;CPP;SANTO TOME
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3735;405;CPP;VILLA ANGELA
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3573;457;CPP;VILLA DEL ROSARIO (PROV.  CORDOBA)
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3573;458;CPP;VILLA DEL ROSARIO (PROV.  CORDOBA)
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3400;497;CPP;VILLA CONSTITUCION
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3573;459;CPP;VILLA DEL ROSARIO (PROV.  CORDOBA)
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3400;498;CPP;VILLA CONSTITUCION
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3756;494;CPP;SANTO TOME
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3845;402;CPP;VILLA SAN MARTIN
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3735;404;CPP;VILLA ANGELA
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3756;496;CPP;SANTO TOME
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3756;497;CPP;SANTO TOME
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3735;406;CPP;VILLA ANGELA
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3735;402;CPP;VILLA ANGELA
TELEFONICA MOVILES ARGENTINA SOCIEDAD ANONIMA;PCS;237;410;CPP;MORENO
TELEFONICA MOVILES ARGENTINA SOCIEDAD ANONIMA;PCS;220;408;CPP;MERLO (PROV.  BUENOS AIRES)
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3756;498;CPP;SANTO TOME
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3735;403;CPP;VILLA ANGELA
COMPAÑIA DE RADIOCOMUNICACIONES MOVILES SOCIEDAD ANONIMA;SBT;342;426;BASICA;SANTA FE
COMPAÑIA DE RADIOCOMUNICACIONES MOVILES SOCIEDAD ANONIMA;SBT;266;460;BASICA;SAN LUIS (PROV. SAN LUIS)
COMPAÑIA DE RADIOCOMUNICACIONES MOVILES SOCIEDAD ANONIMA;SBT;3543;52;BASICA;ARGÜELLO
COMPAÑIA DE RADIOCOMUNICACIONES MOVILES SOCIEDAD ANONIMA;SBT;343;412;BASICA;PARANA
COMPAÑIA DE RADIOCOMUNICACIONES MOVILES SOCIEDAD ANONIMA;SBT;260;4485;BASICA;SAN RAFAEL (PROV. MENDOZA)
COMPAÑIA DE RADIOCOMUNICACIONES MOVILES SOCIEDAD ANONIMA;SBT;260;4486;BASICA;SAN RAFAEL (PROV. MENDOZA)
COMPAÑIA DE RADIOCOMUNICACIONES MOVILES SOCIEDAD ANONIMA;SBT;260;4487;BASICA;SAN RAFAEL (PROV. MENDOZA)
COMPAÑIA DE RADIOCOMUNICACIONES MOVILES SOCIEDAD ANONIMA;SBT;260;4488;BASICA;SAN RAFAEL (PROV. MENDOZA)
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3716;402;CPP;COMANDANTE FONTANA
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3716;400;CPP;COMANDANTE FONTANA
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3755;445;CPP;OBERA
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3754;457;CPP;SAN JAVIER (PROV.  MISIONES)
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3754;458;CPP;SAN JAVIER (PROV.  MISIONES)
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;362;465;CPP;RESISTENCIA
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3777;412;CPP;GOYA
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3716;401;CPP;COMANDANTE FONTANA
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3777;414;CPP;GOYA
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3755;444;CPP;OBERA
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;376;460;CPP;POSADAS
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3468;408;CPP;CORRAL DE BUSTOS
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;379;463;CPP;CORRIENTES
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;370;455;CPP;FORMOSA
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3777;413;CPP;GOYA
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3754;456;CPP;SAN JAVIER (PROV.  MISIONES)
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3777;411;CPP;GOYA
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3777;410;CPP;GOYA
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;388;408;CPP;SAN SALVADOR DE JUJUY
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3755;443;CPP;OBERA
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3755;446;CPP;OBERA
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3755;442;CPP;OBERA
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3468;407;CPP;CORRAL DE BUSTOS
TELECORSAN SOCIEDAD ANONIMA;SBT;3471;411;BASICA;ARMSTRONG
TELECORSAN SOCIEDAD ANONIMA;SBT;3471;413;BASICA;LAS PAREJAS
TELECORSAN SOCIEDAD ANONIMA;SBT;3471;415;BASICA;LAS PAREJAS
TELECORSAN SOCIEDAD ANONIMA;SBT;3471;410;BASICA;ARMSTRONG
TELECORSAN SOCIEDAD ANONIMA;SBT;3471;414;BASICA;LAS PAREJAS
TELECORSAN SOCIEDAD ANONIMA;SBT;3471;412;BASICA;ARMSTRONG
COOPERATIVA ELECTRICA DE MONTE LIMITADA;SBT;2271;405;BASICA;MONTE
TELEFONICA MOVILES ARGENTINA SOCIEDAD ANONIMA;PCS;11;5095;CPP;AMBA
COOPERATIVA ELECTRICA DE MONTE LIMITADA;SBT;2271;409;BASICA;MONTE
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;2261;4907;BASICA;NAPALEOFU
TELETEL SOCIEDAD ANONIMA.;SBT;11;5518;BASICA;AMBA
TELEFONICA MOVILES ARGENTINA SOCIEDAD ANONIMA;PCS;11;5094;CPP;AMBA
COOPERATIVA ELECTRICA DE MONTE LIMITADA;SBT;2271;408;BASICA;MONTE
TELEFONICA MOVILES ARGENTINA SOCIEDAD ANONIMA;PCS;11;5096;CPP;AMBA
COOPERATIVA ELECTRICA DE MONTE LIMITADA;SBT;2271;406;BASICA;MONTE
TELEFONICA MOVILES ARGENTINA SOCIEDAD ANONIMA;PCS;221;418;CPP;LA PLATA
COOPERATIVA ELECTRICA DE MONTE LIMITADA;SBT;2271;407;BASICA;MONTE
COOPERATIVA LIMITADA DE PROVISION DE SERVICIOS ELECTRICOS, OBRAS Y SERVICIOS PUBLICOS, ASISTENCIALES Y CREDITOS, VIVIENDA Y CONSUMO DE TRENQUE LAUQUEN;SBT;2392;41;BASICA;TRENQUE LAUQUEN
TE-COOP SOCIEDAD ANONIMA;SBT;2903;4900;BASICA;FACUNDO
COOPERATIVA DE PROVISION DE SERVICIOS TELEFONICOS, OBRAS Y OTROS SERVICIOS PUBLICOS Y SOCIALES VIRREY DEL PINO LIMITADA;SBT;2202;480;BASICA;VIRREY DEL PINO
COOPERATIVA DE PROVISION DE SERVICIOS TELEFONICOS, OBRAS Y OTROS SERVICIOS PUBLICOS Y SOCIALES VIRREY DEL PINO LIMITADA;SBT;2202;483;BASICA;VIRREY DEL PINO
COOPERATIVA DE PROVISION DE SERVICIOS TELEFONICOS, OBRAS Y OTROS SERVICIOS PUBLICOS Y SOCIALES VIRREY DEL PINO LIMITADA;SBT;2202;484;BASICA;VIRREY DEL PINO
COOPERATIVA DE PROVISION DE SERVICIOS TELEFONICOS, OBRAS Y OTROS SERVICIOS PUBLICOS Y SOCIALES VIRREY DEL PINO LIMITADA;SBT;2202;481;BASICA;VIRREY DEL PINO
COOPERATIVA DE PROVISION DE SERVICIOS TELEFONICOS, OBRAS Y OTROS SERVICIOS PUBLICOS Y SOCIALES VIRREY DEL PINO LIMITADA;SBT;11;41528;BASICA;AMBA
COOPERATIVA DE PROVISION DE SERVICIOS TELEFONICOS, OBRAS Y OTROS SERVICIOS PUBLICOS Y SOCIALES VIRREY DEL PINO LIMITADA;SBT;11;41527;BASICA;AMBA
COOPERATIVA DE PROVISION DE SERVICIOS TELEFONICOS, OBRAS Y OTROS SERVICIOS PUBLICOS Y SOCIALES VIRREY DEL PINO LIMITADA;SBT;11;41529;BASICA;AMBA
COOPERATIVA DE PROVISION DE SERVICIOS TELEFONICOS, OBRAS Y OTROS SERVICIOS PUBLICOS Y SOCIALES VIRREY DEL PINO LIMITADA;SBT;2202;482;BASICA;VIRREY DEL PINO
SES SISTEMAS ELECTRONICOS SOCIEDAD ANONIMA;SBT;2964;448;BASICA;RIO GRANDE (PROV.  TIERRA DEL FUEGO)
SES SISTEMAS ELECTRONICOS SOCIEDAD ANONIMA;SBT;341;565;BASICA;ROSARIO
SES SISTEMAS ELECTRONICOS SOCIEDAD ANONIMA;SBT;280;4561;BASICA;TRELEW
SES SISTEMAS ELECTRONICOS SOCIEDAD ANONIMA;SBT;2901;457;BASICA;USHUAIA
SES SISTEMAS ELECTRONICOS SOCIEDAD ANONIMA;SBT;280;4560;BASICA;PUERTO MADRYN
DIVEO ARGENTINA SOCIEDAD ANONIMA;SBT;223;440;BASICA;MAR DEL PLATA
DIVEO ARGENTINA SOCIEDAD ANONIMA;SBT;266;459;BASICA;SAN LUIS (PROV. SAN LUIS)
SES SISTEMAS ELECTRONICOS SOCIEDAD ANONIMA;SBT;299;414;BASICA;NEUQUEN
SES SISTEMAS ELECTRONICOS SOCIEDAD ANONIMA;SBT;261;522;BASICA;MENDOZA
SES SISTEMAS ELECTRONICOS SOCIEDAD ANONIMA;SBT;223;441;BASICA;MAR DEL PLATA
SES SISTEMAS ELECTRONICOS SOCIEDAD ANONIMA;SBT;2227;457;BASICA;LOBOS
SES SISTEMAS ELECTRONICOS SOCIEDAD ANONIMA;SBT;221;533;BASICA;LA PLATA
SES SISTEMAS ELECTRONICOS SOCIEDAD ANONIMA;SBT;351;596;BASICA;CORDOBA
SES SISTEMAS ELECTRONICOS SOCIEDAD ANONIMA;SBT;297;407;BASICA;COMODORO RIVADAVIA
SES SISTEMAS ELECTRONICOS SOCIEDAD ANONIMA;SBT;2226;440;BASICA;CAÑUELAS
SES SISTEMAS ELECTRONICOS SOCIEDAD ANONIMA;SBT;2342;415;BASICA;BRAGADO
SES SISTEMAS ELECTRONICOS SOCIEDAD ANONIMA;SBT;291;415;BASICA;BAHIA BLANCA
TELECOM ARGENTINA SOCIEDAD ANONIMA;PCS;11;41556;MPP;AMBA
TELECOM ARGENTINA SOCIEDAD ANONIMA;PCS;11;41558;MPP;AMBA
TELECOM ARGENTINA SOCIEDAD ANONIMA;PCS;11;41557;MPP;AMBA
TELECOM ARGENTINA SOCIEDAD ANONIMA;SRCE;260;4484;MPP;SAN RAFAEL (PROV. MENDOZA)
TELECOM ARGENTINA SOCIEDAD ANONIMA;SRCE;264;4029;MPP;SAN JUAN
TELECOM ARGENTINA SOCIEDAD ANONIMA;SRCE;2257;513;MPP;MAR DE AJO
TELECOM ARGENTINA SOCIEDAD ANONIMA;SRCE;2255;437;MPP;VILLA GESELL
TELECOM ARGENTINA SOCIEDAD ANONIMA;SRCE;236;4530;MPP;JUNIN (PROV.  BUENOS AIRES)
TELECOM ARGENTINA SOCIEDAD ANONIMA;SRCE;343;4845;MPP;PARANA
TELECOM ARGENTINA SOCIEDAD ANONIMA;SRCE;3492;409;MPP;RAFAELA
TELECOM ARGENTINA SOCIEDAD ANONIMA;SRCE;2346;405;MPP;CHIVILCOY
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3524;497;CPP;VILLA DEL TOTORAL
TELECOM ARGENTINA SOCIEDAD ANONIMA;SRCE;2255;48;CPP;VILLA GESELL
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3856;403;CPP;SUMAMPA
TELECOM ARGENTINA SOCIEDAD ANONIMA;SRCE;2477;481;MPP;PERGAMINO
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3856;400;CPP;SUMAMPA
TELECOM ARGENTINA SOCIEDAD ANONIMA;SRCE;3564;493;MPP;SAN FRANCISCO (PROV. CORDOBA)
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3856;401;CPP;SUMAMPA
TELECOM ARGENTINA SOCIEDAD ANONIMA;SRCE;342;4022;MPP;SANTA FE
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3856;402;CPP;SUMAMPA
TELECOM ARGENTINA SOCIEDAD ANONIMA;SRCE;2254;455;MPP;PINAMAR
AMX ARGENTINA SOCIEDAD ANONIMA;PCS;11;5645;CPP;AMBA
AMX ARGENTINA SOCIEDAD ANONIMA;PCS;11;5646;CPP;AMBA
AMX ARGENTINA SOCIEDAD ANONIMA;PCS;11;5644;CPP;AMBA
AMX ARGENTINA SOCIEDAD ANONIMA;PCS;11;5647;CPP;AMBA
AMX ARGENTINA SOCIEDAD ANONIMA;PCS;221;536;CPP;LA PLATA
AMX ARGENTINA SOCIEDAD ANONIMA;PCS;11;5591;CPP;AMBA
AMX ARGENTINA SOCIEDAD ANONIMA;PCS;11;5641;CPP;AMBA
AMX ARGENTINA SOCIEDAD ANONIMA;PCS;11;5597;CPP;AMBA
AMX ARGENTINA SOCIEDAD ANONIMA;PCS;11;5626;CPP;AMBA
AMX ARGENTINA SOCIEDAD ANONIMA;PCS;11;5640;CPP;AMBA
AMX ARGENTINA SOCIEDAD ANONIMA;PCS;11;5625;CPP;AMBA
AMX ARGENTINA SOCIEDAD ANONIMA;PCS;11;5629;CPP;AMBA
AMX ARGENTINA SOCIEDAD ANONIMA;PCS;11;5599;CPP;AMBA
AMX ARGENTINA SOCIEDAD ANONIMA;PCS;11;5643;CPP;AMBA
AMX ARGENTINA SOCIEDAD ANONIMA;PCS;11;5642;CPP;AMBA
AMX ARGENTINA SOCIEDAD ANONIMA;PCS;11;5595;CPP;AMBA
AMX ARGENTINA SOCIEDAD ANONIMA;PCS;11;5594;CPP;AMBA
AMX ARGENTINA SOCIEDAD ANONIMA;PCS;11;5593;CPP;AMBA
AMX ARGENTINA SOCIEDAD ANONIMA;PCS;11;5598;CPP;AMBA
AMX ARGENTINA SOCIEDAD ANONIMA;PCS;11;5596;CPP;AMBA
AMX ARGENTINA SOCIEDAD ANONIMA;PCS;11;5592;CPP;AMBA
TELECOM ARGENTINA SOCIEDAD ANONIMA;PCS;11;5561;CPP;AMBA
TELECOM ARGENTINA SOCIEDAD ANONIMA;SBT;3492;53;BASICA;RAFAELA
TELECOM ARGENTINA SOCIEDAD ANONIMA;PCS;11;5564;CPP;AMBA
TELECOM ARGENTINA SOCIEDAD ANONIMA;SBT;2346;44;BASICA;CHIVILCOY
TELECOM ARGENTINA SOCIEDAD ANONIMA;SBT;2257;57;BASICA;MAR DE AJO
TELECOM ARGENTINA SOCIEDAD ANONIMA;PCS;11;5524;CPP;AMBA
TELECOM ARGENTINA SOCIEDAD ANONIMA;PCS;11;5566;CPP;AMBA
TELECOM ARGENTINA SOCIEDAD ANONIMA;PCS;11;5527;CPP;AMBA
TELECOM ARGENTINA SOCIEDAD ANONIMA;PCS;11;5565;CPP;AMBA
TELECOM ARGENTINA SOCIEDAD ANONIMA;PCS;11;5528;CPP;AMBA
TELECOM ARGENTINA SOCIEDAD ANONIMA;PCS;11;5563;CPP;AMBA
TELECOM ARGENTINA SOCIEDAD ANONIMA;PCS;11;5562;CPP;AMBA
TELECOM ARGENTINA SOCIEDAD ANONIMA;PCS;11;5523;CPP;AMBA
TELECOM ARGENTINA SOCIEDAD ANONIMA;PCS;11;5526;CPP;AMBA
TELECOM ARGENTINA SOCIEDAD ANONIMA;SBT;343;410;BASICA;PARANA
TELECOM ARGENTINA SOCIEDAD ANONIMA;PCS;11;5560;CPP;AMBA
TELECOM ARGENTINA SOCIEDAD ANONIMA;PCS;11;5529;CPP;AMBA
TELECOM ARGENTINA SOCIEDAD ANONIMA;PCS;11;5569;CPP;AMBA
TELECOM ARGENTINA SOCIEDAD ANONIMA;PCS;11;5567;CPP;AMBA
TELECOM ARGENTINA SOCIEDAD ANONIMA;PCS;11;5568;CPP;AMBA
TELECOM ARGENTINA SOCIEDAD ANONIMA;SBT;264;406;BASICA;SAN JUAN
TELECOM ARGENTINA SOCIEDAD ANONIMA;SBT;260;445;BASICA;SAN RAFAEL (PROV. MENDOZA)
TELECOM ARGENTINA SOCIEDAD ANONIMA;SBT;2255;44;BASICA;VILLA GESELL
TELECOM ARGENTINA SOCIEDAD ANONIMA;SBT;342;424;BASICA;SANTA FE
TELECOM ARGENTINA SOCIEDAD ANONIMA;PCS;11;5525;CPP;AMBA
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3402;417;CPP;ARROYO SECO
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3456;494;CPP;CHAJARI
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3456;495;CPP;CHAJARI
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3456;496;CPP;CHAJARI
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3456;497;CPP;CHAJARI
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3471;52;CPP;CAÑADA DE GOMEZ
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3857;475;CPP;BANDERA
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3857;473;CPP;BANDERA
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3857;472;CPP;BANDERA
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3857;474;CPP;BANDERA
TELECOM ARGENTINA SOCIEDAD ANONIMA;SBT;3564;53;BASICA;SAN FRANCISCO (PROV. CORDOBA)
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3402;418;CPP;ARROYO SECO
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3402;415;CPP;ARROYO SECO
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3402;416;CPP;ARROYO SECO
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3758;455;CPP;APOSTOLES
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3758;457;CPP;APOSTOLES
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3758;458;CPP;APOSTOLES
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3758;456;CPP;APOSTOLES
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3758;459;CPP;APOSTOLES
TELECOM ARGENTINA SOCIEDAD ANONIMA;SBT;2254;46;BASICA;PINAMAR
TELECOM ARGENTINA SOCIEDAD ANONIMA;SBT;2477;47;BASICA;PERGAMINO
TELECOM ARGENTINA SOCIEDAD ANONIMA;SBT;236;447;BASICA;JUNIN (PROV.  BUENOS AIRES)
TELECOM ARGENTINA SOCIEDAD ANONIMA;SRCE;2346;46;CPP;CHIVILCOY
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3563;496;CPP;BALNEARIA
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3575;488;CPP;LA PUERTA (PROV.  CORDOBA)
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3522;454;CPP;SAN FRANCISCO DEL CHAÑAR
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3522;453;CPP;SAN FRANCISCO DEL CHAÑAR
TELECOM ARGENTINA SOCIEDAD ANONIMA;SRCE;260;452;CPP;SAN RAFAEL (PROV. MENDOZA)
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3388;480;CPP;GENERAL VILLEGAS
TELECOM ARGENTINA SOCIEDAD ANONIMA;SRCE;264;407;CPP;SAN JUAN
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3546;489;CPP;SANTA ROSA DE CALAMUCHITA
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3445;458;CPP;ROSARIO DEL TALA
TELECOM ARGENTINA SOCIEDAD ANONIMA;SRCE;3564;54;CPP;SAN FRANCISCO (PROV. CORDOBA)
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;364;440;CPP;PRESIDENCIA ROQUE SAENZ PEÑA
TELECOM ARGENTINA SOCIEDAD ANONIMA;SRCE;2257;58;CPP;MAR DE AJO
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3472;499;CPP;MARCOS JUAREZ
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3472;498;CPP;MARCOS JUAREZ
TELECOM ARGENTINA SOCIEDAD ANONIMA;SRCE;3492;54;CPP;RAFAELA
TELECOM ARGENTINA SOCIEDAD ANONIMA;SRCE;342;425;CPP;SANTA FE
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3445;459;CPP;ROSARIO DEL TALA
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3751;477;CPP;ELDORADO
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3521;403;CPP;DEAN FUNES
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3521;402;CPP;DEAN FUNES
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3521;404;CPP;DEAN FUNES
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;381;418;CPP;SAN MIGUEL DE TUCUMAN
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;381;419;CPP;SAN MIGUEL DE TUCUMAN
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3522;455;CPP;SAN FRANCISCO DEL CHAÑAR
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3751;471;CPP;ELDORADO
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3546;488;CPP;SANTA ROSA DE CALAMUCHITA
TELECOM ARGENTINA SOCIEDAD ANONIMA;SRCE;2477;52;CPP;PERGAMINO
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3546;478;CPP;SANTA ROSA DE CALAMUCHITA
TELECOM ARGENTINA SOCIEDAD ANONIMA;SRCE;2254;50;CPP;PINAMAR
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3751;478;CPP;ELDORADO
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3751;479;CPP;ELDORADO
TELECOM ARGENTINA SOCIEDAD ANONIMA;SRCE;236;448;CPP;JUNIN (PROV.  BUENOS AIRES)
TELECOM ARGENTINA SOCIEDAD ANONIMA;SRCE;343;411;CPP;PARANA
TELEPHONE2 SOCIEDAD ANONIMA (CUIT 30-70726752-2).;SBT;11;5521;BASICA;AMBA
TELEPHONE2 SOCIEDAD ANONIMA (CUIT 30-70726752-2).;SBT;11;5522;BASICA;AMBA
COMPAÑIA DE RADIOCOMUNICACIONES MOVILES SOCIEDAD ANONIMA;PCS;11;5582;CPP;AMBA
COMPAÑIA DE RADIOCOMUNICACIONES MOVILES SOCIEDAD ANONIMA;PCS;11;5577;CPP;AMBA
COMPAÑIA DE RADIOCOMUNICACIONES MOVILES SOCIEDAD ANONIMA;PCS;11;5587;CPP;AMBA
COMPAÑIA DE RADIOCOMUNICACIONES MOVILES SOCIEDAD ANONIMA;PCS;11;5570;CPP;AMBA
COMPAÑIA DE RADIOCOMUNICACIONES MOVILES SOCIEDAD ANONIMA;PCS;11;5580;CPP;AMBA
COMPAÑIA DE RADIOCOMUNICACIONES MOVILES SOCIEDAD ANONIMA;PCS;11;5576;CPP;AMBA
COMPAÑIA DE RADIOCOMUNICACIONES MOVILES SOCIEDAD ANONIMA;PCS;11;5583;CPP;AMBA
COMPAÑIA DE RADIOCOMUNICACIONES MOVILES SOCIEDAD ANONIMA;PCS;11;5581;CPP;AMBA
COMPAÑIA DE RADIOCOMUNICACIONES MOVILES SOCIEDAD ANONIMA;PCS;11;5584;CPP;AMBA
COMPAÑIA DE RADIOCOMUNICACIONES MOVILES SOCIEDAD ANONIMA;PCS;11;5571;CPP;AMBA
COMPAÑIA DE RADIOCOMUNICACIONES MOVILES SOCIEDAD ANONIMA;PCS;11;5572;CPP;AMBA
COMPAÑIA DE RADIOCOMUNICACIONES MOVILES SOCIEDAD ANONIMA;PCS;11;5586;CPP;AMBA
COMPAÑIA DE RADIOCOMUNICACIONES MOVILES SOCIEDAD ANONIMA;PCS;11;5574;CPP;AMBA
COMPAÑIA DE RADIOCOMUNICACIONES MOVILES SOCIEDAD ANONIMA;PCS;11;5589;CPP;AMBA
COMPAÑIA DE RADIOCOMUNICACIONES MOVILES SOCIEDAD ANONIMA;PCS;11;5588;CPP;AMBA
COMPAÑIA DE RADIOCOMUNICACIONES MOVILES SOCIEDAD ANONIMA;PCS;11;5578;CPP;AMBA
COMPAÑIA DE RADIOCOMUNICACIONES MOVILES SOCIEDAD ANONIMA;PCS;11;5575;CPP;AMBA
COMPAÑIA DE RADIOCOMUNICACIONES MOVILES SOCIEDAD ANONIMA;PCS;11;5579;CPP;AMBA
COMPAÑIA DE RADIOCOMUNICACIONES MOVILES SOCIEDAD ANONIMA;PCS;11;5573;CPP;AMBA
COMPAÑIA DE RADIOCOMUNICACIONES MOVILES SOCIEDAD ANONIMA;PCS;11;5585;CPP;AMBA
TELEFONICA MOVILES ARGENTINA SOCIEDAD ANONIMA;PCS;11;5708;CPP;AMBA
TELEFONICA MOVILES ARGENTINA SOCIEDAD ANONIMA;PCS;11;5703;CPP;AMBA
TELEFONICA MOVILES ARGENTINA SOCIEDAD ANONIMA;PCS;11;5704;CPP;AMBA
TELEFONICA MOVILES ARGENTINA SOCIEDAD ANONIMA;PCS;11;5706;CPP;AMBA
TELEFONICA MOVILES ARGENTINA SOCIEDAD ANONIMA;PCS;11;5705;CPP;AMBA
TELEFONICA MOVILES ARGENTINA SOCIEDAD ANONIMA;STM;2920;495;CPP;VIEDMA
TELEFONICA MOVILES ARGENTINA SOCIEDAD ANONIMA;PCS;351;601;CPP;CORDOBA
TELEFONICA MOVILES ARGENTINA SOCIEDAD ANONIMA;PCS;11;46750;MPP;AMBA
TELEFONICA MOVILES ARGENTINA SOCIEDAD ANONIMA;STM;299;416;CPP;NEUQUEN
TELEFONICA MOVILES ARGENTINA SOCIEDAD ANONIMA;STM;299;415;CPP;NEUQUEN
TELEFONICA MOVILES ARGENTINA SOCIEDAD ANONIMA;PCS;11;46759;MPP;AMBA
TELEFONICA MOVILES ARGENTINA SOCIEDAD ANONIMA;STM;2346;407;CPP;CHIVILCOY
TELEFONICA MOVILES ARGENTINA SOCIEDAD ANONIMA;STM;2920;416;CPP;VIEDMA
TELEFONICA MOVILES ARGENTINA SOCIEDAD ANONIMA;STM;297;413;CPP;COMODORO RIVADAVIA
TELEFONICA MOVILES ARGENTINA SOCIEDAD ANONIMA;STM;2920;415;CPP;VIEDMA
TELEFONICA MOVILES ARGENTINA SOCIEDAD ANONIMA;STM;2920;417;CPP;VIEDMA
TELEFONICA MOVILES ARGENTINA SOCIEDAD ANONIMA;STM;2920;419;CPP;VIEDMA
TELEFONICA MOVILES ARGENTINA SOCIEDAD ANONIMA;STM;2920;418;CPP;VIEDMA
TELEFONICA MOVILES ARGENTINA SOCIEDAD ANONIMA;STM;2920;498;CPP;VIEDMA
TELEFONICA MOVILES ARGENTINA SOCIEDAD ANONIMA;STM;2920;490;CPP;VIEDMA
TELEFONICA MOVILES ARGENTINA SOCIEDAD ANONIMA;STM;2964;465;CPP;RIO GRANDE (PROV.  TIERRA DEL FUEGO)
