OPERADOR;SERVICIO;INDICATIVO;BLOQUE;MODALIDAD;LOCALIDAD
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;2648;42;BASICA;CALINGASTA
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;2335;493;BASICA;CALEUFU
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3409;450;MPP;MOISES VILLE
TELEFONICA MOVILES ARGENTINA SOCIEDAD ANONIMA;STM;2954;470;MPP;SANTA ROSA (PROV.  LA PAMPA)
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3841;497;MPP;MONTE QUEMADO
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;2394;42;BASICA;TRES LOMAS
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3863;450;MPP;MONTEROS
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;2335;45;BASICA;CALEUFU
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;2948;4902;BASICA;CAJON DE CURILEUVU
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3562;450;MPP;MORTEROS
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;2948;4928;BASICA;CAEPE MALAL
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;2954;4991;BASICA;CACHIRULO
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;297;496;BASICA;CAMARONES
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3775;491;MPP;MONTE CASEROS
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;2274;42;BASICA;CARLOS SPEGAZZINI
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;2323;491;BASICA;CAPILLA DEL SEÑOR
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;2274;491;BASICA;CARLOS SPEGAZZINI
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;291;4911;BASICA;TENIENTE ORIGONE
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;261;4992;BASICA;TERMAS VILLAVICENCIO
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;2274;43;BASICA;CARLOS SPEGAZZINI
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3786;450;MPP;ITUZAINGO
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3887;473;MPP;HUMAHUACA
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;2274;45;BASICA;CARLOS SPEGAZZINI
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;2357;42;BASICA;CARLOS TEJEDOR
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;2317;490;BASICA;CARLOS MARIA NAON
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;2323;495;BASICA;CARLOS KEEN
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;2395;45;BASICA;CARLOS CASARES
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;2227;496;BASICA;CARLOS BEGUERIE
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;2254;47;BASICA;CARILO
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;2936;491;BASICA;CARHUE
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;2936;43;BASICA;CARHUE
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3525;459;MPP;JESUS MARIA
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3498;473;MPP;GOBERNADOR CRESPO
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;2901;450;BASICA;USHUAIA
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3725;450;MPP;GENERAL JOSE DE SAN MARTIN
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;2625;493;BASICA;CARMENSA
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3711;493;MPP;GENERAL MOSCONI
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;2273;44;BASICA;CARMEN DE ARECO
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;2357;496;BASICA;CARLOS TEJEDOR
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3467;497;MPP;INRIVILLE
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;2338;498;BASICA;TELEN
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3548;460;MPP;LA FALDA
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;280;44993;BASICA;TELSEN
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3777;440;MPP;GOYA
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3777;447;MPP;GOYA
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3444;450;MPP;GUALEGUAY
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3446;450;MPP;GUALEGUAYCHU
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3446;451;MPP;GUALEGUAYCHU
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3446;477;MPP;GUALEGUAYCHU
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3388;450;MPP;GENERAL VILLEGAS
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3715;495;MPP;LAS LOMITAS
TELEFONICA MOVILES ARGENTINA SOCIEDAD ANONIMA;STM;2942;450;MPP;ZAPALA
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3575;481;MPP;LA PUERTA (PROV.  CORDOBA)
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3885;476;MPP;LA QUIACA
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;380;4483;MPP;LA RIOJA
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;380;4487;MPP;LA RIOJA
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3385;450;MPP;LABOULAYE
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;2475;497;BASICA;CARABELAS
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3877;450;MPP;LAS LAJITAS
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;280;4443;BASICA;TRELEW
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;280;4446;BASICA;TRELEW
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3482;459;MPP;LAS TOSCAS (PROV. SANTA FE)
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3533;450;MPP;LAS VARILLAS
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3886;473;MPP;LIBERTADOR GENERAL SAN MARTIN
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;280;4445;BASICA;TRELEW
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;280;4449;BASICA;TRELEW
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3497;482;MPP;LLAMBI CAMPBELL
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;280;4447;BASICA;TRELEW
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;2323;493;BASICA;TORRES
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;2284;450;BASICA;OLAVARRIA
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3437;450;MPP;LA PAZ (PROV.  ENTRE RIOS)
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;2478;48;BASICA;CAPITAN SARMIENTO
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;2357;491;BASICA;TIMOTE
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;11;4341;BASICA;AMBA
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;2954;498;BASICA;TOAY
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;2954;492;BASICA;TOAY
