Year,Quarter,Province,Access per 100 households,Access per 100 households [Proyected 2%],Access per 100 households [Previous Quarter],Incremental Percentage
2015,1,Mendoza,32.37,33.02,18.12,78.64
2015,1,Misiones,26.31,26.84,19.69,33.62
2015,1,Neuquén,51.95,52.99,55.51,-6.41
2015,1,Río Negro,45.33,46.24,16.7,171.44
2015,1,Salta,30.01,30.61,32.37,-7.29
2015,1,San Juan,27.55,28.1,26.31,4.71
2015,1,San Luis,9.72,9.91,51.95,-81.29
2015,1,Santa Cruz,27.99,28.55,45.33,-38.25
2015,1,Santa Fe,50.24,51.24,30.01,67.41
2015,1,Santiago Del Estero,17.06,17.4,27.55,-38.08
2015,1,Tierra Del Fuego,74.23,75.71,9.72,663.68
2015,1,Tucumán,35.08,35.78,27.99,25.33
2015,2,Buenos Aires,56.8,57.94,56.37,0.76
2015,2,Catamarca,25.45,25.96,25.11,1.35
2015,2,Chaco,27.46,28.01,26.65,3.04
2015,2,Chubut,36.58,37.31,37.61,-2.74
2015,2,Córdoba,55.87,56.99,54.7,2.14
2015,2,Corrientes,29.58,30.17,28.95,2.18
2015,2,Entre Ríos,42.93,43.79,42.07,2.04
2015,2,Formosa,18.36,18.73,18.12,1.32
2015,2,Jujuy,20.29,20.7,19.69,3.05
2015,2,La Pampa,56.71,57.84,55.51,2.16
2015,2,La Rioja,16.88,17.22,16.7,1.08
2015,2,Mendoza,32.49,33.14,32.37,0.37
2015,2,Misiones,27.35,27.9,26.31,3.95
2015,2,Neuquén,53.12,54.18,51.95,2.25
2015,2,Río Negro,45.98,46.9,45.33,1.43
2015,2,Salta,30.46,31.07,30.01,1.5
2015,2,San Juan,27.64,28.19,27.55,0.33
2015,2,San Luis,9.71,9.9,9.72,-0.1
2015,2,Santa Cruz,27.07,27.61,27.99,-3.29
2015,2,Santa Fe,51.18,52.2,50.24,1.87
2015,2,Santiago Del Estero,17.11,17.45,17.06,0.29
2015,2,Tierra Del Fuego,74.51,76.0,74.23,0.38
2015,2,Tucumán,35.69,36.4,35.08,1.74
2015,3,Buenos Aires,57.69,58.84,56.8,1.57
2015,3,Catamarca,25.86,26.38,25.45,1.61
2015,3,Chaco,27.96,28.52,27.46,1.82
2015,3,Chubut,36.81,37.55,36.58,0.63
2015,3,Córdoba,57.08,58.22,55.87,2.17
2015,3,Corrientes,30.17,30.77,29.58,1.99
2015,3,Entre Ríos,43.68,44.55,42.93,1.75
2015,3,Formosa,18.84,19.22,18.36,2.61
2015,3,Jujuy,21.27,21.7,20.29,4.83
2015,3,La Pampa,57.96,59.12,56.71,2.2
2015,3,La Rioja,17.15,17.49,16.88,1.6
2015,3,Mendoza,32.49,33.14,32.49,0.0
2015,3,Misiones,28.31,28.88,27.35,3.51
2015,3,Neuquén,54.6,55.69,53.12,2.79
2015,3,Río Negro,46.39,47.32,45.98,0.89
2015,3,Salta,31.18,31.8,30.46,2.36
2015,3,San Juan,27.67,28.22,27.64,0.11
2015,3,San Luis,9.71,9.9,9.71,0.0
2015,3,Santa Cruz,27.61,28.16,27.07,1.99
2015,3,Santa Fe,52.15,53.19,51.18,1.9
2015,3,Santiago Del Estero,17.12,17.46,17.11,0.06
2015,3,Tierra Del Fuego,74.86,76.36,74.51,0.47
2015,3,Tucumán,36.61,37.34,35.69,2.58
2015,4,Buenos Aires,58.29,59.46,57.69,1.04
2015,4,Catamarca,26.24,26.76,25.86,1.47
2015,4,Chaco,28.35,28.92,27.96,1.39
2015,4,Chubut,36.89,37.63,36.81,0.22
2015,4,Córdoba,57.36,58.51,57.08,0.49
2015,4,Corrientes,30.34,30.95,30.17,0.56
2015,4,Entre Ríos,44.11,44.99,43.68,0.98
2015,4,Formosa,19.07,19.45,18.84,1.22
2015,4,Jujuy,21.47,21.9,21.27,0.94
2015,4,La Pampa,58.76,59.94,57.96,1.38
2015,4,La Rioja,17.32,17.67,17.15,0.99
2015,4,Mendoza,32.49,33.14,32.49,0.0
2015,4,Misiones,28.69,29.26,28.31,1.34
2015,4,Neuquén,58.29,59.46,54.6,6.76
2015,4,Río Negro,46.44,47.37,46.39,0.11
2015,4,Salta,31.59,32.22,31.18,1.31
2015,4,San Juan,27.66,28.21,27.67,-0.04
2015,4,San Luis,9.71,9.9,9.71,0.0
2015,4,Santa Cruz,27.74,28.29,27.61,0.47
2015,4,Santa Fe,52.61,53.66,52.15,0.88
2015,4,Santiago Del Estero,17.0,17.34,17.12,-0.7
2015,4,Tierra Del Fuego,66.46,67.79,74.86,-11.22
2015,4,Tucumán,37.06,37.8,36.61,1.23
2016,1,Buenos Aires,57.34,58.49,50.24,14.13
2016,1,Catamarca,25.91,26.43,17.06,51.88
2016,1,Chaco,28.08,28.64,74.23,-62.17
2016,1,Chubut,36.09,36.81,35.08,2.88
2016,1,Córdoba,55.28,56.39,57.34,-3.59
2016,1,Corrientes,30.08,30.68,25.91,16.09
2016,1,Entre Ríos,43.85,44.73,28.08,56.16
2016,1,Formosa,19.04,19.42,36.09,-47.24
2016,1,Jujuy,21.41,21.84,55.28,-61.27
2016,1,La Pampa,57.84,59.0,30.08,92.29
2016,1,La Rioja,16.83,17.17,43.85,-61.62
2016,1,Mendoza,32.12,32.76,19.04,68.7
2016,1,Misiones,28.37,28.94,21.41,32.51
2016,1,Neuquén,55.75,56.86,57.84,-3.61
2016,1,Río Negro,45.84,46.76,16.83,172.37
2016,1,Salta,31.32,31.95,32.12,-2.49
2016,1,San Juan,27.33,27.88,28.37,-3.67
2016,1,San Luis,9.59,9.78,55.75,-82.8
2016,1,Santa Cruz,26.87,27.41,45.84,-41.38
2016,1,Santa Fe,51.28,52.31,31.32,63.73
2016,1,Santiago Del Estero,16.21,16.53,27.33,-40.69
2016,1,Tierra Del Fuego,65.83,67.15,9.59,586.44
2016,1,Tucumán,36.72,37.45,26.87,36.66
2016,2,Buenos Aires,59.34,60.53,57.34,3.49
